Nodes,H,R_in,R_out,t,A,M_Ele,M_node
1,0,2.9649,3,0.0351,0.657748939,9795.197204,4897.598602
2,1.752,2.943808,2.9787,0.034892,0.649204307,9667.950543,9731.573873
3,3.504,2.922716,2.9574,0.034684,0.640715077,9541.528932,9604.739737
4,5.256,2.901624,2.9361,0.034476,0.63228125,9415.93237,9478.730651
5,7.008,2.880532,2.9148,0.034268,0.623902824,9291.160859,9353.546615
6,8.76,2.85944,2.8935,0.03406,0.615579801,9167.214397,9229.187628
7,10.512,2.838348,2.8722,0.033852,0.60731218,9044.092985,9105.653691
8,12.264,2.817256,2.8509,0.033644,0.599099961,8921.796622,8982.944803
9,14.016,2.796164,2.8296,0.033436,0.590943145,8800.32531,8861.060966
10,15.768,2.775072,2.8083,0.033228,0.58284173,8679.679047,8740.002178
11,17.52,2.75398,2.787,0.03302,0.574795718,8559.857834,8619.76844
12,19.272,2.732888,2.7657,0.032812,0.566805108,8440.86167,8500.359752
13,21.024,2.711796,2.7444,0.032604,0.5588699,8322.690557,8381.776113
14,22.776,2.690704,2.7231,0.032396,0.550990095,8205.344493,8264.017525
15,24.528,2.669612,2.7018,0.032188,0.543165692,8088.823479,8147.083986
16,26.28,2.64852,2.6805,0.03198,0.53539669,7973.127514,8030.975496
17,28.032,2.627428,2.6592,0.031772,0.527683092,7858.2566,7915.692057
18,29.784,2.606336,2.6379,0.031564,0.520024895,7744.210735,7801.233667
19,31.536,2.585244,2.6166,0.031356,0.5124221,7630.98992,7687.600327
20,33.288,2.564152,2.5953,0.031148,0.504874708,7518.594154,7574.792037
21,35.04,2.54306,2.574,0.03094,0.497382718,7407.023438,7462.808796
22,36.792,2.521968,2.5527,0.030732,0.48994613,7296.277773,7351.650606
23,38.544,2.500876,2.5314,0.030524,0.482564945,7186.357156,7241.317465
24,40.296,2.479784,2.5101,0.030316,0.475239161,7077.26159,7131.809373
25,42.048,2.458692,2.4888,0.030108,0.46796878,6968.991073,7023.126332
26,43.8,2.4376,2.4675,0.0299,0.460753801,6861.545607,6915.26834
27,45.552,2.416508,2.4462,0.029692,0.453594224,6754.925189,6808.235398
28,47.304,2.395416,2.4249,0.029484,0.44649005,6649.129822,6702.027506
29,49.056,2.374324,2.4036,0.029276,0.439441277,6544.159504,6596.644663
30,50.808,2.353232,2.3823,0.029068,0.432447907,6440.014237,6492.086871
31,52.56,2.33214,2.361,0.02886,0.425509939,6336.694018,6388.354128
32,54.312,2.311048,2.3397,0.028652,0.418627374,6234.19885,6285.446434
33,56.064,2.289956,2.3184,0.028444,0.41180021,6132.528731,6183.363791
34,57.816,2.268864,2.2971,0.028236,0.405028449,6031.683663,6082.106197
35,59.568,2.247772,2.2758,0.028028,0.39831209,5931.663643,5981.673653
36,61.32,2.22668,2.2545,0.02782,0.391651133,5832.468674,5882.066159
37,63.072,2.205588,2.2332,0.027612,0.385045578,5734.098754,5783.283714
38,64.824,2.184496,2.2119,0.027404,0.378495426,5636.553885,5685.32632
39,66.576,2.163404,2.1906,0.027196,0.372000676,5539.834064,5588.193975
40,68.328,2.142312,2.1693,0.026988,0.365561328,5443.939294,5491.886679
41,70.08,2.12122,2.148,0.02678,0.359177382,5348.869573,5396.404434
42,71.832,2.100128,2.1267,0.026572,0.352848838,5254.624903,5301.747238
43,73.584,2.079036,2.1054,0.026364,0.346575697,5161.205281,5207.915092
44,75.336,2.057944,2.0841,0.026156,0.340357958,5068.61071,5114.907996
45,77.088,2.036852,2.0628,0.025948,0.334195621,4976.841189,5022.725949
46,78.84,2.01576,2.0415,0.02574,0.328088686,4885.896717,4931.368953
47,80.592,1.994668,2.0202,0.025532,0.322037154,4795.777295,4840.837006
48,82.344,1.973576,1.9989,0.025324,0.316041024,4706.482922,4751.130108
49,84.096,1.952484,1.9776,0.025116,0.310100295,4618.0136,4662.248261
50,85.848,1.931392,1.9563,0.024908,0.30421497,4530.369327,4574.191463
51,87.6,1.9103,1.935,0.0247,0.298385046,,2265.184663
52,90,1.9103,1.935,0.0247,0.298385046,,350000
